Tempo,RPM,Acelerador,Freio
22:10:55.673,11105,98,0
22:10:55.689,8752,81,0
22:10:55.705,11714,76,0
22:10:55.721,9849,51,0
22:10:55.738,10470,62,0
22:10:55.753,11183,81,0
22:10:55.955,12912,87,0
22:10:56.168,6584,0,78
22:10:56.170,11301,65,0
22:10:56.182,10947,70,0
22:10:56.203,9802,72,0
22:10:56.213,12898,64,0
22:10:56.233,12513,58,0
22:10:56.823,9872,70,0
22:10:56.917,8243,56,0
22:10:57.006,12890,80,0
22:10:57.104,8022,82,0
22:10:57.170,8606,92,0
22:10:57.220,9397,72,0
22:10:57.286,10656,63,0
22:10:57.327,9031,94,0
22:10:57.373,12983,66,0
22:10:57.424,12116,79,0
22:10:57.493,10176,99,0
22:10:57.558,10599,84,0
22:10:57.639,11796,64,0
22:10:57.710,8765,91,0
22:10:57.742,12911,55,0
22:10:57.826,11002,80,0
22:10:57.908,11478,93,0
22:10:58.000,11399,76,0
22:10:58.061,8539,70,0
22:10:58.123,10442,83,0
22:10:58.218,9618,100,0
22:10:58.273,10643,92,0
22:10:58.360,9700,79,0
22:10:58.413,10803,97,0
22:10:58.471,10223,52,0
22:10:58.516,9903,94,0
22:10:58.576,11976,56,0
22:10:58.642,12645,84,0
22:10:58.696,9735,75,0
22:10:58.754,9476,92,0
22:10:58.822,11191,87,0
22:10:58.892,11998,85,0
22:10:58.945,11047,89,0
22:10:58.990,11288,67,0
22:10:59.041,9499,69,0
22:10:59.147,9646,81,0
22:10:59.220,9660,61,0
22:10:59.276,11319,83,0
22:10:59.335,8439,56,0
22:10:59.390,12219,63,0
22:10:59.452,11292,56,0
22:10:59.508,8781,86,0
22:10:59.555,12355,73,0
22:10:59.626,11193,81,0
22:10:59.682,8193,50,0
22:10:59.723,5668,0,60
22:10:59.782,11287,62,0
22:10:59.835,12726,64,0
22:10:59.890,10066,87,0
22:10:59.956,9347,73,0
22:11:00.023,9214,82,0
22:11:00.107,10803,78,0
22:11:00.182,12108,59,0
22:11:00.248,9611,53,0
22:11:00.306,6269,0,79
22:11:00.357,11771,54,0
22:11:00.405,10497,66,0
22:11:00.450,9755,51,0
22:11:00.511,10576,73,0
22:11:00.569,10519,65,0
22:11:00.619,9194,51,0
22:11:00.676,8200,88,0
22:11:00.724,12972,60,0
22:11:00.783,10520,76,0
22:11:00.836,12308,98,0
22:11:00.900,10612,88,0
22:11:00.970,9893,56,0
22:11:01.027,12950,65,0
22:11:01.085,12396,53,0
22:11:01.154,9191,76,0
22:11:01.243,10603,51,0
22:11:01.299,9848,68,0
22:11:01.456,12492,51,0
22:11:01.543,11298,100,0
22:11:01.612,9083,67,0
22:11:01.696,12627,57,0
22:11:01.771,11588,79,0
22:11:01.879,6866,0,95
22:11:01.945,8012,72,0
22:11:01.992,11931,98,0
22:11:02.053,9643,75,0
22:11:02.121,11237,65,0
22:11:02.291,4339,0,87
22:11:02.437,12402,71,0
22:11:02.490,10983,52,0
22:11:02.575,8940,55,0
22:11:02.671,6365,0,88
22:11:02.743,9123,59,0
22:11:02.807,9663,55,0
22:11:02.872,9023,94,0
22:11:02.951,10017,71,0
22:11:03.004,8006,100,0
22:11:03.060,8746,82,0
22:11:03.128,8488,84,0
22:11:03.203,11118,67,0
22:11:03.272,9604,83,0
22:11:03.346,8530,88,0
22:11:03.442,11446,82,0
22:11:03.543,4325,0,80
22:11:03.640,10696,61,0
22:11:03.772,9800,68,0
22:11:03.923,10121,88,0
22:11:04.137,9959,62,0
22:11:04.275,12608,87,0
22:11:04.408,9052,91,0
22:11:04.475,5012,0,60
22:11:04.558,9707,66,0
22:11:04.660,8425,98,0
22:11:04.724,10193,89,0
22:11:04.794,5894,0,72
22:11:04.875,11466,77,0
22:11:04.928,8005,81,0
22:11:05.003,12738,65,0
22:11:05.092,9881,80,0
22:11:05.181,12836,70,0
22:11:05.269,10595,79,0
