Tempo,RPM,Acelerador,Freio
22:17:49.859,9261,91,0
22:17:49.912,5291,0,75
22:17:49.941,10960,94,0
22:17:50.009,11231,96,0
22:17:50.027,12293,62,0
22:17:50.041,8194,77,0
22:17:50.057,9138,70,0
22:17:50.073,12343,83,0
22:17:50.090,9208,55,0
22:17:50.111,8846,100,0
22:17:50.132,9595,51,0
22:17:50.154,8446,80,0
22:17:50.177,10142,63,0
22:17:50.197,8990,51,0
22:17:50.219,9583,66,0
22:17:50.241,9982,54,0
22:17:50.264,9131,57,0
22:17:50.288,8166,72,0
22:17:50.312,10530,79,0
22:17:50.338,9770,73,0
22:17:50.405,11107,76,0
22:17:50.421,9518,64,0
22:17:50.436,8495,58,0
22:17:50.452,8100,68,0
22:17:50.470,10871,64,0
22:17:50.496,8261,95,0
22:17:50.516,12269,67,0
22:17:50.533,9836,84,0
22:17:50.548,12756,76,0
22:17:50.565,8319,85,0
22:17:50.580,10148,92,0
22:17:50.598,12615,75,0
22:17:50.622,11376,72,0
22:17:50.645,11713,100,0
22:17:50.669,10281,53,0
22:17:50.689,9358,67,0
22:17:50.706,11596,95,0
22:17:50.722,10524,97,0
22:17:50.737,6912,0,82
22:17:50.754,12368,95,0
22:17:50.774,8033,76,0
22:17:50.789,10620,66,0
22:17:50.804,9768,55,0
22:17:50.820,9420,70,0
22:17:50.835,10250,67,0
22:17:50.852,11111,82,0
22:17:50.868,8206,51,0
22:17:50.882,10279,69,0
22:17:50.896,10995,62,0
22:17:50.911,10398,84,0
22:17:50.925,9637,90,0
22:17:50.940,9226,97,0
22:17:50.956,10590,91,0
22:17:50.972,11755,65,0
22:17:50.988,12283,62,0
22:17:51.004,11840,79,0
22:17:51.020,9417,91,0
22:17:51.038,6119,0,69
22:17:51.063,9823,69,0
22:17:51.087,8640,84,0
22:17:51.112,12893,74,0
22:17:51.128,9416,81,0
22:17:51.140,9094,65,0
22:17:51.150,10974,57,0
22:17:51.167,8095,60,0
22:17:51.183,12234,96,0
22:17:51.207,5180,0,75
22:17:51.233,10103,92,0
22:17:51.252,11317,63,0
22:17:51.267,5002,0,92
22:17:51.284,4407,0,61
22:17:51.301,9922,93,0
22:17:51.325,8643,61,0
22:17:51.342,10595,82,0
22:17:51.354,8319,83,0
22:17:51.364,11117,87,0
22:17:51.380,12955,86,0
22:17:51.407,8045,76,0
22:17:51.433,11121,59,0
22:17:51.462,4977,0,74
22:17:51.488,11411,82,0
22:17:51.518,5203,0,96
22:17:51.546,11275,98,0
22:17:51.567,11203,56,0
22:17:51.579,12040,84,0
22:17:51.592,9521,70,0
22:17:51.608,8007,59,0
22:17:51.624,12164,64,0
22:17:51.640,11868,79,0
22:17:51.656,11435,51,0
22:17:51.672,12216,79,0
22:17:51.689,11639,58,0
22:17:51.708,11081,97,0
22:17:51.728,12448,68,0
22:17:51.746,8267,88,0
22:17:51.764,8898,68,0
22:17:51.783,10913,60,0
22:17:51.801,11538,56,0
22:17:51.821,10476,56,0
22:17:51.837,9600,53,0
22:17:51.850,8873,76,0
22:17:51.865,9396,73,0
22:17:51.881,9993,78,0
22:17:51.897,12660,65,0
22:17:51.913,10471,76,0
22:17:51.930,10183,63,0
22:17:51.959,11431,75,0
22:17:51.988,9050,69,0
22:17:52.018,9194,60,0
22:17:52.037,10071,100,0
22:17:52.054,11074,50,0
22:17:52.068,9616,96,0
22:17:52.085,4309,0,98
22:17:52.101,8293,52,0
22:17:52.116,11588,94,0
22:17:52.132,12503,55,0
22:17:52.149,10048,75,0
22:17:52.164,9531,83,0
22:17:52.182,11696,65,0
22:17:52.208,8271,91,0
22:17:52.233,12829,54,0
22:17:52.261,12227,85,0
22:17:52.288,10150,63,0
22:17:52.312,10873,96,0
22:17:52.326,6405,0,92
22:17:52.338,9939,99,0
22:17:52.351,8054,70,0
22:17:52.368,10077,62,0
22:17:52.387,12162,51,0
22:17:52.399,12242,60,0
22:17:52.416,11408,81,0
22:17:52.433,11171,79,0
22:17:52.447,9971,91,0
22:17:52.463,11707,88,0
22:17:52.479,11955,97,0
22:17:52.495,8486,100,0
22:17:52.511,11853,96,0
22:17:52.527,9436,63,0
22:17:52.543,8705,79,0
22:17:52.559,10942,52,0
22:17:52.575,8177,53,0
22:17:52.591,9861,67,0
22:17:52.607,12582,50,0
22:17:52.623,8476,59,0
22:17:52.640,8451,79,0
22:17:52.668,12476,76,0
22:17:52.696,8497,68,0
22:17:52.714,9550,92,0
22:17:52.728,10763,84,0
22:17:52.744,9818,100,0
22:17:52.760,10637,61,0
22:17:52.776,12709,50,0
22:17:52.791,8709,93,0
22:17:52.807,11014,68,0
22:17:52.824,9982,90,0
22:17:52.839,11995,77,0
22:17:52.856,8901,78,0
22:17:52.872,9055,99,0
22:17:52.901,10891,75,0
22:17:52.928,12882,92,0
22:17:52.953,8760,88,0
22:17:52.979,8004,84,0
22:17:53.005,8182,74,0
22:17:53.032,12403,70,0
22:17:53.059,9968,69,0
22:17:53.080,10774,88,0
22:17:53.096,12998,84,0
22:17:53.112,10059,54,0
22:17:53.129,10732,60,0
22:17:53.145,11478,63,0
22:17:53.161,11136,92,0
22:17:53.189,12315,74,0
22:17:53.205,10897,54,0
22:17:53.217,8062,73,0
22:17:53.227,9622,56,0
22:17:53.240,10397,63,0
22:17:53.256,8368,99,0
22:17:53.272,12959,76,0
22:17:53.288,12898,63,0
22:17:53.305,9151,77,0
22:17:53.333,8411,60,0
22:17:53.359,11225,58,0
22:17:53.376,9780,56,0
22:17:53.390,10541,79,0
22:17:53.406,9867,67,0
22:17:53.422,9597,77,0
22:17:53.439,8752,83,0
22:17:53.455,9305,90,0
22:17:53.470,8705,63,0
22:17:53.486,9335,75,0
22:17:53.504,9799,99,0
22:17:53.523,10810,87,0
22:17:53.540,12625,85,0
22:17:53.559,8360,55,0
22:17:53.578,11323,52,0
22:17:53.597,8901,95,0
22:17:53.614,6047,0,79
22:17:53.627,8577,62,0
22:17:53.639,12123,74,0
22:17:53.651,10706,65,0
22:17:53.674,11109,100,0
22:17:53.692,10616,78,0
22:17:53.705,10738,65,0
22:17:53.718,8549,89,0
22:17:53.728,11706,64,0
22:17:53.743,12953,51,0
22:17:53.758,8089,64,0
22:17:53.775,10273,92,0
22:17:53.792,11964,69,0
22:17:53.819,9150,78,0
22:17:53.846,12639,52,0
22:17:53.875,12248,94,0
22:17:53.903,12783,80,0
22:17:53.931,9886,90,0
22:17:53.952,10261,100,0
22:17:53.968,8400,53,0
22:17:53.983,9956,72,0
22:17:54.000,10666,80,0
22:17:54.015,12011,95,0
22:17:54.032,12224,85,0
22:17:54.049,8608,72,0
22:17:54.066,8866,89,0
22:17:54.082,12154,50,0
22:17:54.099,11309,58,0
22:17:54.115,12192,66,0
22:17:54.129,8573,93,0
22:17:54.144,8115,80,0
22:17:54.160,11022,94,0
22:17:54.188,9639,66,0
22:17:54.205,10008,71,0
22:17:54.218,12970,70,0
22:17:54.231,9719,97,0
22:17:54.243,11313,56,0
22:17:54.255,12671,81,0
22:17:54.272,8172,79,0
22:17:54.288,12117,82,0
22:17:54.304,9278,51,0
22:17:54.319,8498,86,0
22:17:54.335,11144,86,0
22:17:54.352,5951,0,96
22:17:54.382,9345,77,0
22:17:54.410,9822,58,0
22:17:54.439,9769,77,0
22:17:54.467,12282,81,0
22:17:54.490,12413,70,0
22:17:54.503,10244,76,0
22:17:54.516,9064,83,0
22:17:54.531,12994,57,0
22:17:54.547,8206,53,0
22:17:54.570,9090,100,0
22:17:54.585,6391,0,78
22:17:54.599,10787,74,0
22:17:54.611,8348,84,0
22:17:54.629,6644,0,96
22:17:54.648,9276,67,0
22:17:54.661,9286,60,0
22:17:54.675,12840,74,0
22:17:54.690,12642,64,0
22:17:54.706,8035,63,0
22:17:54.723,12391,55,0
22:17:54.739,12741,80,0
22:17:54.754,9490,96,0
22:17:54.771,12477,76,0
22:17:54.796,12424,71,0
22:17:54.826,10126,63,0
22:17:54.854,12909,51,0
22:17:54.880,11935,99,0
22:17:54.908,12573,58,0
22:17:54.935,11197,96,0
22:17:54.961,8263,84,0
22:17:54.989,8883,67,0
22:17:55.019,11736,86,0
22:17:55.048,10603,94,0
22:17:55.077,9339,90,0
22:17:55.105,9477,81,0
22:17:55.131,12688,60,0
22:17:55.156,9887,96,0
22:17:55.184,10903,51,0
22:17:55.212,10976,90,0
22:17:55.226,8624,89,0
22:17:55.243,8862,68,0
22:17:55.260,9789,72,0
22:17:55.288,12338,55,0
22:17:55.315,11023,66,0
22:17:55.342,12872,77,0
22:17:55.367,10237,50,0
22:17:55.383,8818,71,0
22:17:55.399,10735,95,0
22:17:55.415,12128,62,0
22:17:55.431,8191,96,0
22:17:55.447,12376,86,0
22:17:55.464,11084,57,0
22:17:55.486,9063,52,0
22:17:55.509,12336,60,0
22:17:55.533,12384,51,0
22:17:55.557,12661,52,0
22:17:55.581,9153,92,0
22:17:55.600,8626,54,0
22:17:55.613,8150,67,0
22:17:55.629,12347,54,0
22:17:55.645,12915,60,0
22:17:55.673,9307,66,0
22:17:55.700,12423,86,0
22:17:55.729,9834,58,0
22:17:55.757,11436,85,0
22:17:55.782,12289,53,0
22:17:55.807,8205,87,0
22:17:55.836,9340,75,0
22:17:55.853,12696,86,0
22:17:55.866,5681,0,88
22:17:55.878,9446,59,0
22:17:55.893,11664,91,0
22:17:55.905,6035,0,97
22:17:55.919,11093,61,0
22:17:55.935,9364,74,0
22:17:55.950,8938,91,0
22:17:55.967,8411,73,0
22:17:55.982,8128,73,0
22:17:55.998,9813,82,0
22:17:56.016,12565,81,0
22:17:56.045,11816,54,0
22:17:56.070,10880,86,0
22:17:56.096,11709,100,0
22:17:56.111,5456,0,72
22:17:56.124,12424,92,0
22:17:56.136,9849,81,0
22:17:56.149,9514,99,0
22:17:56.166,8292,52,0
22:17:56.182,11792,88,0
22:17:56.197,12751,97,0
22:17:56.213,10588,78,0
22:17:56.232,11670,62,0
22:17:56.260,11353,54,0
22:17:56.287,8108,92,0
22:17:56.311,9277,85,0
22:17:56.324,11434,80,0
22:17:56.336,9816,83,0
22:17:56.350,8605,84,0
22:17:56.369,8116,80,0
22:17:56.399,9752,98,0
22:17:56.428,9879,74,0
22:17:56.451,8086,79,0
22:17:56.463,12836,98,0
22:17:56.479,9111,50,0
22:17:56.494,5003,0,62
22:17:56.510,11034,52,0
22:17:56.526,9193,55,0
22:17:56.539,9245,70,0
22:17:56.555,10708,54,0
22:17:56.571,12364,57,0
22:17:56.587,11927,53,0
22:17:56.603,10304,59,0
22:17:56.619,8761,80,0
22:17:56.635,8835,65,0
22:17:56.650,12694,65,0
22:17:56.666,10234,89,0
22:17:56.683,10440,61,0
22:17:56.699,8654,92,0
22:17:56.715,11145,68,0
22:17:56.731,9329,79,0
22:17:56.747,8086,65,0
22:17:56.763,10934,75,0
22:17:56.779,9876,86,0
22:17:56.795,8281,79,0
22:17:56.810,11769,71,0
22:17:56.827,10371,57,0
22:17:56.843,8533,70,0
22:17:56.859,8326,59,0
22:17:56.875,10601,52,0
22:17:56.891,10124,76,0
22:17:56.907,12219,90,0
22:17:56.924,10977,53,0
22:17:56.952,8946,59,0
22:17:56.983,11057,90,0
22:17:57.018,10663,69,0
22:17:57.049,8952,81,0
22:17:57.065,10049,93,0
22:17:57.080,8857,86,0
22:17:57.096,9160,54,0
22:17:57.113,12516,51,0
22:17:57.127,9438,54,0
22:17:57.140,10423,61,0
22:17:57.153,8438,59,0
22:17:57.168,8885,62,0
22:17:57.181,8424,61,0
22:17:57.195,8645,84,0
22:17:57.209,8509,57,0
22:17:57.225,12971,59,0
22:17:57.241,12427,72,0
22:17:57.257,12218,98,0
22:17:57.273,9020,67,0
22:17:57.290,10472,58,0
22:17:57.317,10559,92,0
22:17:57.341,12431,55,0
22:17:57.368,8815,52,0
22:17:57.396,9595,72,0
22:17:57.416,12037,80,0
22:17:57.428,11780,81,0
22:17:57.444,11518,97,0
22:17:57.459,9290,54,0
22:17:57.475,8346,84,0
22:17:57.491,12198,60,0
22:17:57.507,8112,79,0
22:17:57.523,12592,67,0
22:17:57.539,11565,63,0
22:17:57.556,5580,0,81
