Volta,Tempo_Volta,RPM,Acelerador,Freio
1,0.038,9128,74,0
1,0.054,12754,86,0
1,0.071,12301,93,0
1,0.087,9016,79,0
1,0.197,9964,80,0
1,0.214,12037,62,0
1,0.236,9605,74,0
1,0.249,12434,83,0
1,0.27,11595,87,0
1,0.286,11558,75,0
1,0.297,9786,86,0
1,0.312,11878,64,0
1,0.326,11927,54,0
1,0.342,9605,61,0
1,0.357,9089,60,0
1,0.374,6569,0,70
1,0.39,12469,82,0
1,0.407,10684,70,0
1,0.423,9495,59,0
1,0.458,9655,90,0
1,0.495,9547,79,0
1,0.523,12069,76,0
1,0.537,8756,61,0
1,0.549,12670,84,0
1,0.558,11558,82,0
1,0.574,10279,70,0
1,0.59,11019,78,0
1,0.607,10207,58,0
1,0.622,10271,96,0
1,0.638,9302,66,0
1,0.654,12754,94,0
1,0.671,10048,68,0
1,0.687,10841,55,0
1,0.702,8253,95,0
1,0.718,10464,79,0
1,0.733,10028,79,0
1,0.751,11501,69,0
1,0.767,11562,89,0
1,0.785,10840,75,0
1,0.8,8498,82,0
1,0.817,11568,80,0
1,0.837,9530,87,0
1,0.861,8311,80,0
1,0.888,8647,65,0
1,0.917,12343,89,0
1,0.949,9855,67,0
1,0.999,8140,82,0
1,1.035,11829,64,0
1,1.062,11110,58,0
1,1.088,9083,87,0
1,1.105,11543,56,0
1,1.128,8752,88,0
1,1.146,10056,95,0
1,1.167,8874,95,0
1,1.179,12399,66,0
1,1.202,11140,92,0
1,1.221,11613,84,0
1,1.24,8887,65,0
1,1.266,11675,75,0
1,1.284,10428,81,0
1,1.312,9629,81,0
1,1.327,11085,93,0
1,1.346,10821,79,0
1,1.362,8522,91,0
1,1.376,10483,83,0
1,1.393,8763,74,0
1,1.409,5017,0,85
1,1.427,9885,54,0
1,1.449,11102,87,0
1,1.463,12855,56,0
1,1.483,11148,83,0
1,1.497,8839,94,0
1,1.515,10372,63,0
1,1.529,11738,57,0
1,1.549,4432,0,71
1,1.563,8363,99,0
1,1.578,9314,92,0
1,1.594,10405,84,0
1,1.609,5691,0,66
1,1.626,9601,53,0
1,1.644,9068,90,0
1,1.661,12069,69,0
1,1.673,10694,75,0
1,1.69,8866,90,0
1,1.706,9573,87,0
1,1.721,12243,84,0
1,1.74,9988,96,0
1,1.759,11238,74,0
1,1.773,10652,64,0
1,1.789,8216,96,0
1,1.806,11051,77,0
1,1.821,11070,53,0
1,1.835,8387,67,0
1,1.848,9346,94,0
1,1.863,8469,60,0
1,1.873,10930,74,0
1,1.887,12725,89,0
1,1.903,11359,80,0
1,1.919,11523,55,0
1,1.935,12303,98,0
1,1.95,9335,60,0
1,1.967,9562,56,0
1,1.983,11248,86,0
1,1.999,10011,93,0
1,2.015,12024,61,0
1,2.031,11172,98,0
1,2.048,8109,76,0
1,2.063,11684,93,0
1,2.079,9324,52,0
1,2.095,8848,93,0
1,2.111,10703,70,0
1,2.128,9808,52,0
1,2.143,9100,73,0
1,2.159,11321,73,0
1,2.175,12271,66,0
1,2.191,10085,80,0
1,2.207,12061,71,0
1,2.223,10188,71,0
1,2.238,11329,81,0
1,2.255,9313,97,0
1,2.271,12497,92,0
1,2.288,9530,77,0
1,2.304,9726,74,0
1,2.319,11722,57,0
1,2.335,8636,61,0
1,2.351,8189,85,0
1,2.367,12102,86,0
1,2.383,12644,74,0
1,2.399,9278,77,0
1,2.415,12028,58,0
1,2.431,8112,53,0
1,2.449,10071,74,0
1,2.463,12076,73,0
1,2.479,11207,90,0
1,2.495,11017,97,0
1,2.511,12335,65,0
1,2.528,10930,95,0
1,2.543,12875,70,0
1,2.56,9542,73,0
1,2.575,9951,57,0
1,2.591,6008,0,94
1,2.607,8036,84,0
1,2.623,11481,93,0
1,2.639,10268,74,0
1,2.655,8094,89,0
1,2.671,10808,64,0
1,2.687,12713,83,0
1,2.703,12756,57,0
1,2.719,8986,90,0
1,2.735,10559,62,0
1,2.751,12688,50,0
1,2.767,11888,58,0
1,2.782,10752,66,0
1,2.799,12179,62,0
1,2.814,11172,52,0
1,2.831,9157,98,0
1,2.847,8185,89,0
1,2.863,10790,69,0
1,2.879,12812,71,0
1,2.897,8642,85,0
1,2.914,13000,91,0
1,2.927,12859,56,0
1,2.943,11316,96,0
1,2.959,9406,100,0
1,2.975,8180,69,0
1,2.991,12691,66,0
1,3.008,8969,58,0
1,3.023,10375,52,0
1,3.039,12318,72,0
1,3.055,8418,78,0
1,3.071,11955,91,0
1,3.087,9941,74,0
1,3.11,11215,78,0
1,3.129,12898,93,0
1,3.144,11672,66,0
1,3.159,11514,61,0
1,3.17,9408,63,0
1,3.184,11862,71,0
1,3.199,12669,93,0
1,3.215,9730,90,0
1,3.232,12843,99,0
1,3.247,8698,80,0
1,3.263,10811,57,0
1,3.28,12792,79,0
1,3.295,12055,94,0
1,3.312,11828,64,0
1,3.327,10201,58,0
1,3.343,10483,50,0
1,3.36,4902,0,90
1,3.375,11170,55,0
1,3.392,10717,78,0
1,3.407,5100,0,80
1,3.424,8561,94,0
1,3.439,11172,92,0
1,3.455,12973,62,0
1,3.471,11925,100,0
1,3.487,12876,50,0
1,3.503,8393,81,0
1,3.519,11411,93,0
1,3.535,9417,60,0
1,3.551,8269,90,0
1,3.567,12919,80,0
1,3.583,10550,57,0
1,3.599,4784,0,62
1,3.615,8381,53,0
1,3.631,8711,86,0
1,3.647,11992,92,0
1,3.663,11777,97,0
1,3.68,9184,82,0
1,3.695,11529,74,0
1,3.711,11671,64,0
1,3.726,10212,63,0
1,3.743,12589,90,0
1,3.759,10752,77,0
1,3.775,12730,61,0
1,3.791,10621,58,0
1,3.808,11021,63,0
1,3.823,12023,69,0
1,3.839,5128,0,82
1,3.855,10619,79,0
1,3.871,11419,97,0
1,3.887,9018,91,0
1,3.903,9136,56,0
1,3.919,9796,58,0
1,3.935,9975,93,0
1,3.951,9853,55,0
1,3.967,10389,78,0
1,3.983,12974,94,0
1,3.999,11114,76,0
1,4.015,5192,0,60
1,4.031,8384,60,0
1,4.047,11539,93,0
1,4.063,8173,76,0
1,4.08,9067,54,0
1,4.095,8112,64,0
1,4.111,12028,84,0
1,4.127,11450,94,0
1,4.143,8973,71,0
1,4.16,12302,73,0
1,4.175,11321,97,0
1,4.191,12105,68,0
1,4.207,6589,0,91
1,4.223,10568,58,0
1,4.239,8732,74,0
1,4.255,10683,66,0
1,4.271,10899,51,0
1,4.287,9988,52,0
1,4.303,11440,66,0
1,4.319,8810,81,0
1,4.335,10145,62,0
1,4.351,8198,88,0
1,4.367,10145,95,0
1,4.383,8374,89,0
1,4.399,9429,59,0
1,4.415,12676,51,0
1,4.431,10343,66,0
1,4.447,9039,67,0
1,4.463,8638,98,0
1,4.48,11842,88,0
1,4.495,10297,64,0
1,4.511,8210,99,0
1,4.527,12638,80,0
1,4.543,10022,87,0
1,4.56,9573,97,0
1,4.575,12587,79,0
1,4.591,12311,53,0
1,4.607,8073,99,0
1,4.623,12880,92,0
1,4.639,9681,61,0
1,4.655,8795,94,0
1,4.671,12792,100,0
1,4.687,8897,95,0
1,4.703,5744,0,79
1,4.719,10441,90,0
1,4.735,8855,61,0
1,4.751,12840,78,0
1,4.767,12267,99,0
1,4.783,12126,74,0
1,4.799,11647,91,0
1,4.815,8604,65,0
1,4.831,11166,92,0
1,4.847,12169,54,0
1,4.863,9788,90,0
1,4.879,9895,90,0
1,4.895,12858,82,0
1,4.911,12437,50,0
1,4.927,9640,85,0
1,4.943,9444,73,0
1,4.96,11085,61,0
1,4.975,8936,100,0
1,4.991,10350,100,0
1,5.007,12077,61,0
1,5.023,11472,52,0
1,5.039,10033,68,0
1,5.055,10611,95,0
1,5.071,12091,81,0
1,5.087,11272,56,0
1,5.102,12557,86,0
1,5.119,12084,70,0
1,5.135,10530,52,0
1,5.151,9924,63,0
1,5.166,10866,62,0
1,5.183,8727,72,0
